Designator,Mid X,Mid Y,Rotation,Layer
BRD1,147.965,-90.1025,0.0,top
D1,80.34375,-104.275,0.0,top
D2,118.44375,-104.275,0.0,top
D3,156.54375,-104.275,0.0,top
D4,156.54375,-142.375,180.0,top
D5,118.44375,-142.375,180.0,top
D6,80.34375,-142.375,180.0,top
D7,99.39375,-123.325,0.0,top
D8,137.49375,-123.325,0.0,top
SW1,127.96875,-111.71,0.0,top
SW2,147.01875,-111.71,0.0,top
SW3,127.96875,-130.76,0.0,top
SW4,147.01875,-130.76,0.0,top
SW5,89.86875,-111.71,0.0,top
SW6,108.91875,-111.71,0.0,top
SW7,89.86875,-130.76,0.0,top
SW8,108.91875,-130.76,0.0,top
U1,97.0125,-90.5,0.0,top
